Krypt King - Trap Team Nitro,8.99,24.99,35536,https://www.pricecharting.com/game/skylanders/krypt-king-trap-team-nitro,0 
Lightning Rod,2.99,11.99,33707,https://www.pricecharting.com/game/skylanders/lightning-rod,0 
Lightning Rod - Giants Purple Metallic,49.99,79.99,34136,https://www.pricecharting.com/game/skylanders/lightning-rod-giants-purple-metallic,0 
Lightning Rod - Giants Series 2,.99,3.99,33708,https://www.pricecharting.com/game/skylanders/lightning-rod-giants-series-2,0 
Lob Star - Trap Team,4.99,4.99,35497,https://www.pricecharting.com/game/skylanders/lob-star-trap-team,0 
Lob Star - Trap Team Winferfest,2.99,9.99,35508,https://www.pricecharting.com/game/skylanders/lob-star-trap-team-winferfest,0 
Magna Charge - Swap Force,6.99,11.99,34364,https://www.pricecharting.com/game/skylanders/magna-charge-swap-force,0 
Magna Charge - Swap Force Nitro,4.99,13.99,34365,https://www.pricecharting.com/game/skylanders/magna-charge-swap-force-nitro,0 
Master Barbella - Imaginators,8.99,16.99,55864,https://www.pricecharting.com/game/skylanders/master-barbella-imaginators,0 
Master Chopscotch - Imaginators,9.99,12.99,55863,https://www.pricecharting.com/game/skylanders/master-chopscotch-imaginators,0 
Master Flare Wolf - Imaginators,19.99,59.99,55862,https://www.pricecharting.com/game/skylanders/master-flare-wolf-imaginators,0 
Master Mysticat - Imaginators,10.99,19.99,55860,https://www.pricecharting.com/game/skylanders/master-mysticat-imaginators,0 
Master Starcast - Imaginators,19.99,44.99,55883,https://www.pricecharting.com/game/skylanders/master-starcast-imaginators,0 
Master Tidepool - Imaginators,8.99,13.99,55856,https://www.pricecharting.com/game/skylanders/master-tidepool-imaginators,0 
Master Tri-Tip - Imaginators,2.99,10.99,55858,https://www.pricecharting.com/game/skylanders/master-tri-tip-imaginators,0 
Mini Jini - Sidekicks,5.99,5.99,34096,https://www.pricecharting.com/game/skylanders/mini-jini-sidekicks,0 
Mini Jini - Trap Team,2.99,3.99,35503,https://www.pricecharting.com/game/skylanders/mini-jini-trap-team,0 
Night Shift - Swap Force,4.99,7.99,34366,https://www.pricecharting.com/game/skylanders/night-shift-swap-force,0 
Night Shift - Swap Force Legendary,3.99,8.99,34367,https://www.pricecharting.com/game/skylanders/night-shift-swap-force-legendary,0 
Nightfall - SuperChargers,3.99,3.99,36187,https://www.pricecharting.com/game/skylanders/nightfall-superchargers,0 
Nightmare Express - Trap Team,3.99,7.99,47042,https://www.pricecharting.com/game/skylanders/nightmare-express-trap-team,0 
Ninjini - Giants,3.99,4.99,33766,https://www.pricecharting.com/game/skylanders/ninjini-giants,0 
Ninjini - Giants Scarlet,3.99,6.99,33908,https://www.pricecharting.com/game/skylanders/ninjini-giants-scarlet,0 
Pet Vac - Trap Team Mini,3.99,12.99,35904,https://www.pricecharting.com/game/skylanders/pet-vac-trap-team-mini,0 
Pet Vac - Trap Team Mini Power Punch,2.99,3.99,35890,https://www.pricecharting.com/game/skylanders/pet-vac-trap-team-mini-power-punch,0 
Piggy Bank - Trap Team Legendary,1.99,3.99,47044,https://www.pricecharting.com/game/skylanders/piggy-bank-trap-team-legendary,0 
Pirate Seas,2.99,9.99,54405,https://www.pricecharting.com/game/skylanders/pirate-seas,0 
Pop Fizz - Giants,2.99,2.99,33709,https://www.pricecharting.com/game/skylanders/pop-fizz-giants,0 
Pop Fizz - Giants Lightcore,13.99,24.99,33710,https://www.pricecharting.com/game/skylanders/pop-fizz-giants-lightcore,0 
